index,gmt_occur,amt,fund_channel,event_name,scene,user_id,opposite_user_id
0,2023-09-13 08:54:25,10000.0,debit_card,transfer to card,transfer to card,u011,u006
1,2023-09-13 11:17:09,10000.0,moneyfund,transfer to card,transfer to card,u011,u007
2,2023-09-13 11:23:50,19500.0,balance,transfer to card,transfer to card,u011,u012
3,2023-09-13 11:34:23,497.5,debit_card,payment,transfer to account,u000,u010
4,2023-09-13 12:12:02,20000.0,moneyfund,payment,instant transfer,u011,u000
5,2023-09-13 12:31:00,10000.0,moneyfund,payment,instant transfer,u011,u002
6,2023-09-13 15:37:23,510.0,debit_card,payment,instant transfer,u000,u010
7,2023-09-13 16:38:50,7600.0,debit_card,payment,transfer to account,u004,u003
8,2023-09-13 16:39:23,7600.0,moneyfund,payment,instant transfer,u003,u010
9,2023-09-13 20:49:34,539.0,debit_card,payment,instant transfer,u002,u004
10,2023-09-13 22:00:34,10000.0,balance,payment,instant transfer,u005,u009
11,2023-09-13 22:09:09,20000.0,balance,payment,instant transfer,u005,u007
12,2023-09-13 22:22:06,29782.0,moneyfund,payment,instant transfer,u005,u008
13,2023-09-13 23:06:17,1000.0,moneyfund,payment,instant transfer,u001,u004
14,2023-09-13 23:52:07,3487.0,balance,payment,transfer to account,u007,u006
